date,sector,uniqcode,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,prmom1d_f,prmom1w_f,prmom2w_f,prmom3w_f,mom13,mom14
2017/2/28,40,QWPS0G,-0.043160922,0.248450336,0.996411639,1.717974464,3.168081717,3.165307781,0.99791299,2.970063052,0.17765663,-0.829645682,-2.20611277,-2.3837694,1.455176188,-0.472299847,0.197112488,-1.354262985,-0.014914031,-0.232380867
2017/2/28,45,QXV6LQ,-0.113129379,0.428233089,0.737109915,-1.450106566,0.921831434,1.319769871,-4.050335117,2.476223536,-1.765940739,-2.451537448,-5.296070377,-3.530129637,1.639010792,1.669938679,1.49780671,0.69629821,0.383427233,-0.122713625
2017/2/28,35,QXZFNP,-1.567001233,-1.624102028,-1.742507573,-1.684613423,-0.546768755,-13.9807586,-10.13986626,-0.286889089,-1.789971752,-0.789682519,-3.968702997,-2.178731245,-0.548671529,0.374446945,-0.734967637,-4.307215845,1.197197309,0.075336456
2017/2/28,25,QY1R5Z,-0.112291373,-0.660175691,-3.667101746,-8.626637093,-9.631114807,-8.419140428,-11.22844161,-5.163318462,-1.094684595,3.695121381,-1.583630315,-0.488945719,1.097417406,0.582160245,-0.063627573,1.718777972,1.054587538,1.440432549
2017/2/28,25,QYYL4Z,0.083798281,1.146017422,2.240856032,2.330614934,0.777437548,-3.859304533,2.728269391,12.16992762,12.44532198,13.74075219,23.34733906,10.90201708,1.111827406,1.208043315,3.37646604,1.246406781,0.322670175,-0.220773578
2017/2/28,30,QZ2Q0V,3.029768215,-0.968494771,-2.246239344,1.292840887,4.379849391,3.180367891,2.283232963,-3.418429709,-5.102381258,-5.747804009,-3.768957355,1.333423903,-0.513819259,-0.140710886,0.53086381,3.017658287,-1.063268669,0.593466759
2017/2/28,20,R17LLM,-1.814856042,-0.177251978,1.264393258,3.728450661,4.910338821,4.362928807,0.556868733,2.580653851,-20.60632665,-22.41007749,-29.09879602,-8.492469369,-0.381658319,1.697594767,3.083391785,4.998782699,-1.670835978,-2.296833038
2017/2/28,15,R1CXVP,-1.007014539,0.087848667,3.752885733,3.607770189,4.710719096,2.44635331,2.301516727,10.3284117,-3.294342196,-8.553877122,-19.35356252,-16.05922032,-0.395642045,2.947207837,4.186153178,2.929724803,-0.766517068,-1.12304306
2017/2/28,20,R1CZZR,1.005664845,1.86867095,1.383595666,-0.487704213,0.618585,0.737891838,-3.340026901,-7.904366731,-4.868033998,-6.475446011,-14.27302592,-9.404991926,0.290241681,-2.66250744,-2.555839899,-2.614113428,0.542577779,-0.274502516
2017/2/28,20,R1D35V,-0.117753914,-1.282726928,-0.40385055,-2.312030819,1.544159746,-4.740096443,-11.73705441,-8.906517854,5.933848106,10.45110332,19.43471452,13.50086641,2.571191681,-0.643714514,0.787755481,1.362774618,0.720184435,-0.279264212
2017/2/28,40,R2C8R5,0.543773591,-0.283935757,-0.734630514,-1.422948378,-2.16345349,-5.291659074,2.151349266,-2.664363308,6.622622215,-3.327763228,-8.060876143,-14.68349836,0.969626188,2.185305919,0.768383664,-1.902232697,-0.542309006,2.496912003
2017/2/28,20,R2HFP2,0.984885688,3.119103866,-2.967743449,-1.791539189,-2.652624187,-1.783914996,0.289569336,-7.703087615,-1.932984662,9.189899337,4.931140649,6.864125311,0.999011681,1.733654964,4.950987516,4.011594191,0.631748714,1.179153442
