date,sector,uniqcode,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,prmom1d_f,prmom1w_f,prmom2w_f,prmom3w_f,mom13,mom14,pred
2017/2/1,45,B00CQC,-0.068112105,0.00774984,-0.783122055,-4.776750574,-2.688473051,-3.227844835,-3.430118835,-1.994848698,-13.64709689,-14.24603502,-19.11725991,-5.470163018,-0.231408875,1.077722542,1.293836605,4.323239821,0.446711233,1.473064423,5.237022275
2017/2/1,40,B04MVC,-0.288406286,-1.317830613,-1.100512942,0.094893187,-0.787768502,-0.576742774,-1.042929582,-2.595225912,1.839590185,6.753168398,13.3100977,11.47050751,0.253513289,-0.215129534,-0.787030869,-1.835297915,0.208338454,0.410824299,-1.758905055
2017/2/1,10,B05HH5,-1.714203687,-3.923870999,-2.018030449,-4.175338799,-5.134941498,-12.75373853,-28.91156331,-23.95851075,-10.60830891,-8.45296503,-6.100318089,4.507990817,4.28346253,1.176673092,0.525885747,-3.724821114,0.341030855,-0.378746986,-11.03880026
2017/2/1,10,B0HDHL,2.672320418,2.334121753,1.704561964,0.887026767,2.508756144,7.046231298,11.40886874,15.80293829,9.484855379,10.46230759,33.37061608,23.8857607,0.73411253,1.294171269,-0.765613569,-2.517636527,-1.829763927,0.982153416,1.501126988
2017/2/1,40,B18X3G,0.659994,1.368386857,-0.222638858,-2.022537901,-0.378424826,1.637884894,-3.800068049,-15.47009665,-24.19385254,-19.4768286,-20.75192835,3.441924191,1.182573289,2.763850768,-1.628530348,2.211753327,0.29828852,0.016330212,4.024432487
2017/2/1,20,B2DTQ7,-1.26693638,-1.789282299,-1.564196326,1.294099693,1.477927163,0.24007304,2.151976265,2.732496237,-1.342927494,-1.028354565,1.00302518,2.345952675,0.225006295,-0.200388209,-0.943146876,-2.528819535,-0.933665625,0.413263559,-0.425811676
2017/2/1,35,B3FZ0D,4.721454045,2.926248717,1.403506476,0.706970528,1.02077892,2.864084569,5.663846563,9.579926223,-2.442977033,-6.223884984,-11.22522536,-8.782248331,-0.672773043,1.958124726,-1.912203242,-0.984888154,-0.510841698,0.101484001,-0.906975609
2017/2/1,35,B3G26H,-1.32528821,-1.706791288,-2.22082523,-1.565770414,-0.076539579,-1.222191462,-5.195653255,0.493335451,-4.101072885,-11.59506818,-12.14576101,-8.044688125,-0.127883043,0.674324791,-2.863485479,-2.247748956,0.080101397,-0.007018611,-7.94015297
2017/2/1,25,B3L74D,1.940767104,-1.055970311,-1.829718428,-1.835955034,-2.855643579,-10.09267569,-17.31741609,-26.04622792,-6.668530438,-10.56160305,-19.75302938,-13.08449894,1.018613632,-0.202385396,-2.720181503,-17.09851012,1.333200494,0.091994941,-8.020589376
2017/2/1,20,B4K45G,-1.600925056,-5.091522651,-8.054517053,-11.11883783,-12.30391183,-13.09802437,-10.4449897,-3.148663642,6.461883932,11.82766209,4.544547583,-1.917336348,-0.554043705,-1.891801691,-2.826119777,-1.136556606,1.902751251,3.032043457,-1.992114614
2017/2/1,25,B4KM2X,2.645741416,4.129193092,5.552457584,6.380635696,7.03093184,1.480261733,8.891715354,21.1588009,10.14379171,6.059560917,9.5967237,-0.547068006,-1.874866368,-3.678718237,-0.685900951,1.881860512,-0.416179567,-0.882174969,3.41056872
2017/2/1,35,B4KXP6,2.578480374,3.731886142,1.287509795,-1.820996589,0.207839514,-10.17086349,-12.85535598,-12.48374073,-4.540836059,-4.189871073,-9.782426968,-5.241590909,-1.032093043,-3.797045286,0.537667869,-5.423036705,2.5,-1.299333572,-4.12455999
2017/2/1,45,B4L9DK,-0.385375444,-0.032337577,-0.387086157,0.745926676,0.66350915,-0.669731514,3.706158828,-0.017256513,1.611215562,7.51621545,-4.191697184,-5.802912745,-1.774908875,-2.368251933,-2.618113941,-3.975033119,0.104554622,0.322947025,-0.287080481
2017/2/1,40,B4Q0H1,-1.099760369,-0.813396543,6.071666796,5.616930439,6.025281484,5.260226188,10.32697061,16.72351933,15.72371364,18.24320862,29.53288753,13.80917389,-0.060266711,-0.36997989,0.467987379,1.704186277,-1.872439062,-3.114974976,1.359982282
2017/2/1,55,B5VTSN,-0.166376587,0.006630756,1.706879055,-0.728222907,-1.098042746,0.289892272,-5.192092624,-3.500856876,-9.051441877,-9.283260914,-14.58794394,-5.536502065,-0.222620667,-0.23346144,-0.248160278,-0.55380961,0.421370327,-0.394640446,2.330914658
2017/2/1,20,B6BKJ3,-0.26698998,0.045474908,0.335213169,3.253903053,6.04196704,6.320237574,22.33407247,23.12746465,12.90160227,5.94244043,6.828897405,-6.07270486,1.850776295,0.989106622,0.938581195,0.695975879,-0.730139531,0.24487865,1.012879473
2017/2/1,40,B6VPNM,-1.683112398,-1.315458205,-1.145166788,0.433377932,0.053709242,4.240920146,1.971462238,7.513883858,7.823442857,6.365183623,7.416455403,-0.406987454,-4.653096711,-4.18571208,-1.886592623,-4.644493009,-0.451315763,0.455914497,0.365670303
2017/2/1,45,B700XP,1.424438193,0.39972037,-0.591037618,-1.923314731,-0.725575495,-1.992490954,-1.161666751,-5.599840731,2.215360392,-7.669734625,-9.50314601,-11.7185064,-2.856808875,-5.691718692,-5.0429863,-5.847211158,0.197021965,2.326768875,-1.758758275
2017/2/1,20,B7YG19,1.502257862,1.653528069,0.208246189,0.342588767,0.598798693,0.771085996,-3.67609324,-8.065200307,-9.503380084,-0.130840662,-3.820939981,5.682440103,-2.004213705,2.073029377,-0.978134671,2.629073773,0.31482983,-0.082250893,0.769214283
2017/2/1,35,B7YJ5C,-2.401960628,-3.310234334,-3.72919445,-2.930190612,0.149003346,-2.460702396,2.709536688,-8.526832963,2.741569568,3.028545929,-4.746764176,-7.488333745,0.093726957,1.434539218,-0.241573973,5.000402225,-0.020839383,0.378262758,5.045469284
2017/2/1,45,B7YWWQ,-0.912320217,-0.653608576,-0.088048262,-6.640466393,-3.574367459,-6.236525896,-7.33167691,-1.152333404,2.279127465,-0.266231499,2.976923778,0.697796313,-2.207148875,-5.135273531,-5.16746503,-2.089099636,0.430461614,-0.278382301,0.241551424
2017/2/1,25,B82TCD,0.680420583,-0.298459885,-0.154580169,-2.056486491,-4.013449712,-4.013410479,-6.231277703,-8.215414584,9.956985386,3.867848704,-11.39703394,-21.35401932,1.622293632,2.033532164,0.190288824,-1.205778256,0.818181039,0.059306026,8.957549728
2017/2/1,15,B97HDW,-1.700989046,-2.224602521,0.097203255,0.418509513,-1.613234994,-2.212757775,0.237227344,-9.073040408,-5.187526109,-7.061716689,-12.04885998,-6.86133387,-0.20034954,-0.294579469,0.664754384,4.879350692,-0.16353323,-0.932738781,3.817055208
2017/2/1,40,B9BS5G,2.305438777,1.069372354,-4.298266218,-2.767459561,-7.036568468,2.928567962,8.415969904,-35.70650071,-8.67544877,-10.20456132,-9.491927937,-0.816479167,3.826143289,1.279997143,21.22539997,18.45442295,0.418538199,0.5026021,-2.619058965
2017/2/1,30,BB6S59,-2.257078359,-2.195558602,-0.729321039,-1.313420916,-2.008840073,-3.851807857,2.056731559,3.080955591,7.654501683,17.3446978,5.500646771,-2.153854912,0.034896667,-0.461189052,-0.965132573,2.060299968,0.788229982,1.565114021,3.12669797
2017/2/1,30,BCD5LG,-0.501485103,-0.070049224,-0.916273327,0.762415169,3.994447737,2.917990975,5.923171424,12.40866569,-0.408692401,-7.194650089,-6.831482822,-6.422790421,0.345576667,-0.001242493,-1.961569614,-8.716207701,-0.832343758,0.566530228,-5.696510952
2017/2/1,30,BCDBXM,-0.228976354,-2.547594712,0.013632811,-1.892860668,-1.43541157,-1.849323434,-3.203511217,2.624262501,2.058127286,0.72192962,-7.5410931,-9.599220387,-1.296493333,-3.1997894,-0.531653392,0.905298209,0.509177604,0.040366441,-0.807285284
2017/2/1,20,BCHWNY,1.331563146,3.466245645,6.475166293,4.851961174,1.123667161,1.767960611,-3.753193397,-3.756331451,-7.889859841,-3.629422759,-6.07448097,1.815378871,0.399716295,1.775126341,3.706476635,3.92444138,-0.65486195,-3.031282425,-0.175033754
2017/2/1,40,BDJQCT,4.525441683,7.343215713,5.448405666,0.164635923,1.623472708,3.161720867,8.678517178,3.925978712,4.539690399,-2.486358352,-3.622320266,-8.162010665,-1.651116711,-0.304070626,0.515624841,-1.206637902,-0.286575641,-0.396784067,-15.96731438
2017/2/1,15,BDMWDS,-2.011015801,-1.496656145,-0.746160108,-1.53445451,-6.406036293,-9.953908062,-0.103726449,43.605978,4.070905208,10.39715707,48.49643492,44.42552971,11.25757046,10.590728,23.70952939,19.73535768,1.267817159,0.809291363,-3.377722628
2017/2/1,30,BFMGRH,0.368801815,-0.356492886,1.319871816,2.26744141,3.67457385,5.37287718,0.85012746,-8.089914533,-14.51886169,-21.83108742,-19.60971265,-5.090850954,1.876006667,1.739649407,0.930967692,1.546324066,-0.659327378,-0.587931633,-0.300676482
2017/2/1,40,BFS7VZ,-2.013709402,-3.326404143,-1.003271264,2.542267656,3.283300984,2.54304441,5.73054452,-1.655996271,3.326520789,6.628531793,21.58328762,18.25676683,-1.319476711,-0.454427643,0.319886732,-0.27403112,-1.246859158,-0.082430124,0.865325267
2017/2/1,40,BGRLRG,1.510720634,0.30073128,-2.70502555,-6.285910577,-8.06995344,-6.852769558,-12.25263839,-18.14727734,-12.24599073,-11.98279113,-9.515246685,2.730744045,0.596053289,-1.145672422,-1.649057711,-1.728100448,0.724135818,0.50182581,-1.479076678
