,date,sector,uniqcode,mom1,mom2,mom3,mom4,mom5,mom6,mom7,mom8,mom9,mom10,mom11,mom12,prmom1d_f,prmom1w_f,prmom2w_f,prmom3w_f,mom13,mom14,pred,min,max,Average,std,median,mad,kurt,skew,real_choose,pred_choose,pred_bay,pred_deep,pred_linear,pred_gussian,pred_ridge,pred_SGD,pred_svr,pred_gradient,pred_adaboost,tens_pred,keras_pred,pred_essemble
33,2017-02-01,45,BGT3MW,0.35784881700000004,0.09826687,-1.471248229,1.1934696759999999,0.789376929,2.41862244,-0.408897761,-5.51993222,-8.589696147,-14.46104004,-13.4698601,-4.880163953,-0.782508875,-0.404100668,-1.063492798,2.160775771,0.31907703,0.107956111,17.22211107,-14.46104004,45.0,0.9308281961500002,12.225847040475132,-0.152916899,,,,0,1,0.35442266553165963,-1.0303684359219152,0.2729846122361259,-1.596656835775228e-16,0.2730402939440184,67910763041.66387,0.5141519606570497,0.269798304833437,1.2044763586642862,,,0.5135114
34,2017-02-01,45,BHM9TN,-0.853202413,-1.455783285,0.9679741409999999,-0.22469250000000002,2.196480732,8.280294501,3.3756231010000004,-10.90219092,-12.87340631,-17.21547811,-21.73467613,-8.86126982,-2.101208875,-0.47753985200000004,-3.805155229,-2.842728761,-2.5,-0.667589664,2.719577517,-21.73467613,45.0,-1.1987485938500004,13.094888313358876,-1.154492849,,,,1,1,0.3496320824550925,-1.2475867593621754,0.1463003587764906,1.7111689646991197e-22,0.1458120422429139,-246476381057.77512,0.5255154089363744,0.04133926657493227,-1.02073791478692,,,0.4799687
35,2017-02-01,35,BHXVXH,-1.198935144,-3.350434049,-4.551618489,0.08399631199999999,0.050053347000000005,6.839722342999999,-5.031798158,-10.03358772,-14.93339166,-21.53413699,-23.54163442,-8.608242766,-0.5344330429999999,-0.838530372,3.502253582,7.258803502,-0.002746582,0.307597876,4.400150941000001,-23.54163442,35.0,-1.8358455745000004,12.061668498828427,-0.6864817075,,,,1,1,0.3712564697195858,-0.8242376125442169,0.3491956009781052,-1.638556591743612e-27,0.3491730120744161,-813343787846.5189,0.5242948194226366,2.1787471116775703,0.5649885594774627,,,0.56627315
36,2017-02-01,25,BJMMFY,-2.254304314,-3.147577767,-2.006099275,2.384328172,6.770610852000001,3.35451334,2.169674615,0.739885418,-9.22750442,-4.528736193,-3.857627613,5.369876807000001,-0.610716368,-2.9019504119999997,-2.438940529,-3.142864085,0.047792033,-0.011325538000000001,-1.969682816,-9.22750442,25.0,0.48696759535000017,6.8255719850794,-1.290199592,,,,1,1,0.44843025566037886,0.408904295090993,0.3041876304616631,1.817196285752066e-21,0.3043643128002713,354993997455.0116,0.5289530257717208,2.051594811373012,1.4681766667968106,,,0.53650314
37,2017-02-01,45,BLGD5P,-0.573584186,-0.204221364,0.186763402,-3.7828339680000003,-3.662061955,-5.33324038,-9.493903358999999,-13.95551718,-13.77465082,-18.11219908,-16.76175423,-2.9871034069999998,0.141111125,-12.100368699999999,-15.19800777,-15.18500648,0.67219375,-0.049995214,2.503560528,-18.11219908,45.0,-4.1335409644,13.469524706561398,-3.7224479615000003,,,,1,1,0.3258222332716907,-2.3853100012739117,0.22731780603779517,-1.4293446754409407e-16,0.22740878832546008,-412481496373.8669,0.5185427734216201,0.16679775748334164,1.3288225814031536,,,0.48529017
38,2017-02-01,10,BMJYPP,0.043004022999999995,-2.373740972,-3.600750203,-2.662374058,-0.30831923899999997,-2.003538144,-3.747050171,-13.14205471,-1.055783425,3.0572407530000003,15.44768298,16.50346641,-0.83684747,-6.961786234,-5.3068886939999995,-2.08364847,0.907453981,0.969097138,3.320970888,-13.14205471,16.50346641,0.3083067191500001,6.998390444536312,-0.9463154475,,,,1,1,0.45622765992120534,-2.2305933152753834,0.28382565587024633,-1.1267640704042467e-40,0.2840195642583053,577771167076.3254,0.5244578716454398,2.834913710113895,0.5756416875074645,,,0.5214206
39,2017-02-01,35,BN0VR9,-0.568017831,1.322634577,2.634141314,-0.949294602,1.11324047,-3.932964894,-2.757763783,3.56311356,6.294224811,15.11574016,12.74163372,6.447408909,0.910366957,0.887255676,-0.241507935,1.89211337,0.306441393,-0.429473162,-3.191310685,-3.932964894,35.0,3.80789910125,8.794905575584261,1.0118037135,,,,0,1,0.37348573086459574,1.8711412551777555,0.2155823454908088,7.546108898272101e-33,0.21564064201994237,1832838511299.1482,0.5245020946974308,1.0320216004087288,0.382720138890785,,,0.47999898
40,2017-02-01,25,BNFKCM,0.6043558960000001,0.9291822340000001,0.643232756,0.864701585,-4.267457068,-7.2779322760000005,-9.953136354,-10.94042265,-1.4427499069999998,-6.675338622999999,-7.661755744,-6.219005837,0.555443632,3.515197108,4.090837327,-0.483388243,0.340409956,-0.040486783,-4.629697473,-10.94042265,25.0,-1.1524005232000003,7.560187862225242,-0.261937513,,,,1,1,0.36073465694008616,-0.38745046586698584,0.7526257334662974,-5.030088159408899e-27,0.752640526930999,8100927572.691956,0.5238964523045655,0.11021035473112334,0.630954959249004,,,0.0885125
41,2017-02-01,45,BNKYQQ,0.8780238509999999,0.827336328,0.034302616,0.167959692,-1.337134615,-3.914312411,-3.3940781610000004,0.559926017,-0.27530916899999996,5.358997328,-0.7130485129999999,-0.437739344,0.139521125,-1.213836317,-1.852904064,-1.41289272,0.659998914,-0.09914720099999999,6.9394409889999995,-3.914312411,45.0,2.29575521725,10.349259744295377,-0.03242229249999999,,,,1,1,0.33248157394093447,0.24560752820065568,0.04771208767619817,-7.757805441447892e-15,0.047772992771602074,1388756695963.03,0.5108342808006066,0.060201095686800266,0.630954959249004,,,0.6045353
42,2017-02-01,45,BNL2ZV,0.37381476399999997,0.30147902,-1.233223575,-3.851189305,-5.245797943,-4.50332667,-8.272470402,-19.75913601,-13.07043954,-21.2916753,-26.4977036,-13.42726407,-0.335388875,6.672699559,8.663083259,12.08655902,1.087854735,0.403845787,2.922756746,-26.4977036,45.0,-1.9987761199999998,14.957111443275975,-0.784306225,,,,1,1,0.285333487469108,-3.0949969131533988,-0.27609406874566145,-9.217736563876298e-69,-0.275924324108173,-688976828584.901,0.5244626248757581,-0.5833692017893287,2.4587827948508307,,,1.4054768
